,Pregunta,Intencion,Pregunta_new,Pregunta_corregida
113,como puedo saber cual es el nro de socio advantage?,Cat_275,como puedo saber cual es el nro de socio advantage,como puedo saber cual es el nro de socio advantage
114,llamar exterior,Cat_147,llamar exterior,llamar exterior
115,querer darme bajo,Cat_41,querer darme bajo,querer darme bajo
116,adherir a american airlines con visa,Cat_299,adherir a american airlines con visa,adherir a america airlines con visa
117,reintegro debito pago de servicio,Cat_312,reintegro debito pago de servicio,reintegro debito pago de servicio
118,como es un ejemplo para un préstamo hipotecario ajustable?,Cat_229,como es un ejemplo para un préstamo hipotecario ajustable,como es un ejemplo para un préstamo hipotecario ajustable
119,queria consultar si puedo pedir un prestamo personal,Cat_248,queria consultar si puedo pedir un prestamo personal,quera consultar si puedo pedir un prestamo personal
120,queria consultar si tengo algún préstamo disponible pra mi.,Cat_223,queria consultar si tengo algún préstamo disponible pra mi,quera consultar si tengo algún préstamo disponible pre mi
121,quiero cambiar mi tarjeta a contactless,Cat_291,quiero cambiar mi tarjeta a contactless,quiero cambiar mi tarjeta a contactless
122,alguien me pude decir para que es el programa advantage,Cat_277,alguien me pude decir para que es el programa advantage,alguien me pude decir para que es el programa advantage
123,cual sería el valor de mi cuota de prestamo para un terreno,Cat_219,cual sería el valor de mi cuota de prestamo para un terreno,cual serba el valor de mi cuota de prestamo para un terreno
124,reclame por no entrega dinero cajero banelco,Cat_297,reclame por no entrega dinero cajero banelco,reclame por no entrega dinero cajero caneco
125,que gastos cobra santander rio en los prestamos hipotecarios?,Cat_231,que gastos cobra santander rio en los prestamos hipotecarios,que gastos cobra santander rio en los prestamos hipotecarios
126,necesito en cuotas,Cat_251,necesito en cuotas,necesito en cuotas
127,que vehiculos se pueden comprar con el credito,Cat_228,que vehiculos se pueden comprar con el credito,que vehiculo se pueden comprar con el credito
128,quiero un préstamo para comprar un terreno,Cat_228,quiero un préstamo para comprar un terreno,quiero un préstamo para comprar un terreno
129,siendo extranjero puedo obtener un ccredito hipotecario,Cat_248,siendo extranjero puedo obtener un ccredito hipotecario,siendo extranjero puedo obtener un credito hipotecario
130,como son los creditos personales si pido por ejemplo en meses cuota fija por se cliente son muchos loa intereses ?,Cat_251,como son los creditos personales si pido por ejemplo en meses cuota fija por se cliente son muchos loa intereses ,como son los credito personales si pido por ejemplo en meses cuota fija por se cliente son muchos loa intereses
131,el prestamo solo es para casas construidas?,Cat_211,el prestamo solo es para casas construidas,el prestamo solo es para casas construidas
132,mexico telefono llamar,Cat_147,mexico telefono llamar,lexico telefono llamar
133,necesitar modificar gasto dolar debitar dolar peso modificacion,Cat_289,necesitar modificar gasto dolar debitar dolar peso modificacion,necesitar modificar gasto dolar debitar dolar peso modificacion
134,yo quisiera saber si puedo optener la tarjeta de credito del banco .ya tengo la de debito,Cat_337,yo quisiera saber si puedo optener la tarjeta de credito del banco ya tengo la de debito,yo quisiera saber si puedo obtener la tarjeta de credito del banco ya tengo la de debito
135,si hay tasas especiales para plazos fijos de más de un millon. o son las regulares.,Cat_184,si hay tasas especiales para plazos fijos de más de un millon o son las regulares,si hay tasas especiales para plazos fijos de mis de un millon o son las celulares
136,necesito crear,Cat_39,necesito crear,necesito crear
137,quien sos,Cat_14,quien sos,quien os
138,tengo tarjeta de santander rio  como hago para sumar millas en aadnatage_,Cat_274,tengo tarjeta de santander rio  como hago para sumar millas en aadnatage,tengo tarjeta de santander rio como hago para sumar millas en aadnatage
139,reactivación de tarjeta,Cat_314,reactivación de tarjeta,reactivacion de tarjeta
140,quiero compromiso pago,Cat_191,quiero compromiso pago,quiero compromiso pago
141,quisiera saber si puedo pedir un préstamo de,Cat_248,quisiera saber si puedo pedir un préstamo de,quisiera saber si puedo pedir un préstamo de
142,entre a trabajar hace dos meses puedo solicitar el préstamo hipotecario?,Cat_248,entre a trabajar hace dos meses puedo solicitar el préstamo hipotecario,entre a trabajar hace dos meses puedo solicitar el préstamo hipotecario
143,quiero saber de los prestamos uvas y procrear  me mostras la diferencia entre cada uno?,Cat_202,quiero saber de los prestamos uvas y procrear  me mostras la diferencia entre cada uno,quiero saber de los prestamos uvas y procrear me ostras la diferencia entre cada uno
144,tengo un cheque en dolares  como lo puedo cobrar?,Cat_30,tengo un cheque en dolares  como lo puedo cobrar,tengo un cheque en dolar como lo puedo cobrar
145,no llegue la transferencia a mi cuenta del exterior,Cat_35,no llegue la transferencia a mi cuenta del exterior,no llegue la transferencia a mi cuenta del exterior
146,me.olvide la contraseña de mi cuenta,Cat_1,meolvide la contraseña de mi cuenta,olvide la contraseña de mi cuenta
147,me contactan de un estudio juridico por una deuda con el santander,Cat_190,me contactan de un estudio juridico por una deuda con el santander,me contactan de un estudio juridico por una deuda con el santander
148,aumentar extracciones,Cat_287,aumentar extracciones,aumentar extracciones
149,que documentación tengo que presentar para mandar un pago hacia el exterior?,Cat_36,que documentación tengo que presentar para mandar un pago hacia el exterior,que documentación tengo que presentar para mandar un pago hacia el exterior
150,usan sistema francés?,Cat_252,usan sistema francés,usan sistema francés
151,hay tasa fija para compra de segunda vivienda?,Cat_258,hay tasa fija para compra de segunda vivienda,hay tasa fija para compra de segunda vivienda
152,la tarjeta esta paga igual verdad?,Cat_279,la tarjeta esta paga igual verdad,la tarjeta esta paga igual verdad
153,soy cliente pregunto para un préstamo prendario cuanto es el interés hoy,Cat_258,soy cliente pregunto para un préstamo prendario cuanto es el interés hoy,soy cliente pregunto para un préstamo prendario cuanto es el interés hoy
154,ir pagando en cuotas la deuda con la tarjeta,Cat_308,ir pagando en cuotas la deuda con la tarjeta,ir pagando en cuotas la deuda con la tarjeta
155,¿cuándo se pagan los intereses de las letes?,Cat_158,cuándo se pagan los intereses de las letes,cuándo se pagan los intereses de las letes
156,yo pedí la tarjeta santander llega al domicilio o tengo q ir a buscarla?,Cat_293,yo pedí la tarjeta santander llega al domicilio o tengo q ir a buscarla,yo pedí la tarjeta santander llega al domicilio o tengo q ir a buscarla
157,no puedo retirar las tarjetas  me las pueden mandar a otra sucursal,Cat_318,no puedo retirar las tarjetas  me las pueden mandar a otra sucursal,no puedo retirar las tarjetas me las pueden mandar a otra sucursal
158,necesito solicitar o tramitar 2 posnet,Cat_71,necesito solicitar o tramitar number posnet,necesito solicitar o tramitar number poseer
159,quiero el descuento de colectivo de % quiero saber cuales son las empresas que lo toman,Cat_311,quiero el descuento de colectivo de  quiero saber cuales son las empresas que lo toman,quiero el descuento de colectivo de quiero saber cuales son las empresas que lo toman
160,quiero hacer stop debit,Cat_353,quiero hacer stop debit,quiero hacer stop debut
161,para solicitar el préstamo lo puedo hacer por este medio,Cat_223,para solicitar el préstamo lo puedo hacer por este medio,para solicitar el préstamo lo puedo hacer por este medio
162,cuales son los requisitos para hacer un pago al exterior?,Cat_36,cuales son los requisitos para hacer un pago al exterior,cuales son los requisitos para hacer un pago al exterior
163,saber que tipo de amortización tienen los creditos personales,Cat_252,saber que tipo de amortización tienen los creditos personales,saber que tipo de amortización tienen los credito personales
164,tengo la luz adherida al débito automatico?,Cat_93,tengo la luz adherida al débito automatico,tengo la luz adherida al debito automatico
165,me robaron y queria saber como proceder porque estoy asegurada,Cat_265,me robaron y queria saber como proceder porque estoy asegurada,me robaron y quera saber como proceder porque estoy asegurada
166,cómo agrego un servicio a la agenda de pagos,Cat_132,cómo agrego un servicio a la agenda de pagos,como agrego un servicio a la agenda de pagos
167,direccion de sucursal,Cat_91,direccion de sucursal,direccion de sucursal
168,quiero obtener visa santander,Cat_337,quiero obtener visa santander,quiero obtener visa santander
169,algun nro de tel para comunicarme,Cat_147,algun nro de tel para comunicarme,algun nro de tel para comunicarme
170,necesito usar mi tarjeta de debito y en el posnet solicita pedir autorizacion,Cat_283,necesito usar mi tarjeta de debito y en el posnet solicita pedir autorizacion,necesito usar mi tarjeta de debito y en el poseer solicita pedir autorizacion
171,que son las tarjetas sin contacto ?,Cat_291,que son las tarjetas sin contacto ,que son las tarjetas sin contacto
172,tarjeta extranjero,Cat_289,tarjeta extranjero,tarjeta extranjero
173,qué pasa que me cobran caja de seguridad si ni siquiera la uso?,Cat_92,qué pasa que me cobran caja de seguridad si ni siquiera la uso,que pasa que me cobran caja de seguridad si ni siquiera la uso
174,olvide mi contraseña,Cat_1,olvide mi contraseña,olvide mi contraseña
175,tenia una consulta con respecto al pago de un prestamo  se puede pagar en efectivo a traves de una terminal de autoservicio?,Cat_239,tenia una consulta con respecto al pago de un prestamo  se puede pagar en efectivo a traves de una terminal de autoservicio,tenia una consulta con respecto al pago de un prestamo se puede pagar en efectivo a traves de una terminal de autoservicio
176,deseo abrir una caja de ahorro en pesosss,Cat_39,deseo abrir una caja de ahorro en pesosss,deseo abrir una caja de ahorro en pesos
177,puedo aumentar la linea crediticia disponible?,Cat_196,puedo aumentar la linea crediticia disponible,puedo aumentar la linea crediticia disponible
178,que tasa de interés debo pagar por el ccredito hipotecario?,Cat_258,que tasa de interés debo pagar por el ccredito hipotecario,que tasa de interés debo pagar por el credito hipotecario
179,que tiempo demora la reimpresion de mi tarjeta de debito,Cat_316,que tiempo demora la reimpresion de mi tarjeta de debito,que tiempo demora la reimpresion de mi tarjeta de debito
180,voy a usar las tarjetas en el exterior,Cat_304,voy a usar las tarjetas en el exterior,voy a usar las tarjetas en el exterior
181,me podras brindar la informacion por adherir servicios a debito automatico?,Cat_132,me podras brindar la informacion por adherir servicios a debito automatico,me pora brindar la informacion por adherir servicios a debito automatico
182,querer cambiar contraseña acceso,Cat_1,querer cambiar contraseña acceso,querer cambiar contraseña acceso
183,olvide clave banelco?,Cat_288,olvide clave banelco,olvide clave caneco
184,cómo hago una transferencia de mi caja de ahorros a mi cuenta corriente?,Cat_85,cómo hago una transferencia de mi caja de ahorros a mi cuenta corriente,como hago una transferencia de mi caja de ahorros a mi cuenta corriente
185,quisiera enviar mi cv,Cat_102,quisiera enviar mi cv,quisiera enviar mi c
186,no me pagaron la pension,Cat_37,no me pagaron la pension,no me pagaron la pension
187,caja de ahorro para monotributista,Cat_39,caja de ahorro para monotributista,caja de ahorro para monotributista
188,yo use el comodin de conbustible quiero saber cuando me reintegran el dinero,Cat_322,yo use el comodin de conbustible quiero saber cuando me reintegran el dinero,yo use el comodin de combustible quiero saber cuando me reintegran el dinero
189,consultar saldo tarjeta american express,Cat_303,consultar saldo tarjeta american express,consultar saldo tarjeta america expresa
190,donde veo las operaciones a confirmar,Cat_343,donde veo las operaciones a confirmar,donde veo las operaciones a confirmar
191,dar de baja una cuenta universitaria,Cat_41,dar de baja una cuenta universitaria,dar de baja una cuenta universitaria
192,podemos hacer un simulacro?,Cat_251,podemos hacer un simulacro,podemos hacer un simulacro
193,hacer recargar subir cargar dinero,Cat_129,hacer recargar subir cargar dinero,hacer recargar subir cargar dinero
194,reimpresión de tarjeta de ccredito santander,Cat_316,reimpresión de tarjeta de ccredito santander,reimpresión de tarjeta de credito santander
195,costo transferencia banco santander,Cat_83,costo transferencia banco santander,costo transferencia banco santander
196,necesito pagar agip,Cat_132,necesito pagar agip,necesito pagar agil
197,pero quiero obtener una clave para mi tarjeta de ccredito american express,Cat_288,pero quiero obtener una clave para mi tarjeta de ccredito american express,pero quiero obtener una clave para mi tarjeta de credito america expresa
198,no puedo pagar o extraer dinero con mi tarjeta santander,Cat_286,no puedo pagar o extraer dinero con mi tarjeta santander,no puedo pagar o extraer dinero con mi tarjeta santander
199,cómo hago para saber el número de cuenta de mi tarjeta santander  ccredito?,Cat_344,cómo hago para saber el número de cuenta de mi tarjeta santander  ccredito,como hago para saber el número de cuenta de mi tarjeta santander credito
200,que valor de devolución tiene y que cuota del seguro para un samsung s plus?,Cat_261,que valor de devolución tiene y que cuota del seguro para un samsung s plus,que valor de devolución tiene y que cuota del seguro para un samsung s plus
201,quiero cerrar mi cuenta,Cat_41,quiero cerrar mi cuenta,quiero cerrar mi cuenta
202,dan préstamos a monotributustas,Cat_248,dan préstamos a monotributustas,dan prestamos a monotributistas
203,queria pagarle el sueldo a un empleado pero necesito ayuda,Cat_69,queria pagarle el sueldo a un empleado pero necesito ayuda,quera pagarle el sueldo a un empleado pero necesito ayuda
204,soy cliente y necesito un prestamo,Cat_223,soy cliente y necesito un prestamo,soy cliente y necesito un prestamo
205,simulador.de prestamo,Cat_251,simuladorde prestamo,simuladora prestamo
206,quisiera saber sobre creditos personales,Cat_225,quisiera saber sobre creditos personales,quisiera saber sobre credito personales
207,quiero saber cuales son los pagos que hice con tarjeta de credito,Cat_279,quiero saber cuales son los pagos que hice con tarjeta de credito,quiero saber cuales son los pagos que hice con tarjeta de credito
208,que es el coeficiente de estabilización de referencia,Cat_107,que es el coeficiente de estabilización de referencia,que es el coeficiente de estabilización de referencia
209,saber donde llegar tarjeta nueva,Cat_293,saber donde llegar tarjeta nueva,saber donde llegar tarjeta nueva
210,quisiera dar de baja una poliza como puedo hacerlo y donde?,Cat_262,quisiera dar de baja una poliza como puedo hacerlo y donde,quisiera dar de baja una poliza como puedo hacerlo y donde
211,cuanto demoran en rematar la casa si no puedo pagar el prestamo hipotecario?,Cat_240,cuanto demoran en rematar la casa si no puedo pagar el prestamo hipotecario,cuanto demoran en rematar la casa si no puedo pagar el prestamo hipotecario
212,me pide autorización de una compra por internet,Cat_283,me pide autorización de una compra por internet,me pide autorización de una compra por internet
213,se puede pagar una infraccion de transito por este medio?,Cat_132,se puede pagar una infraccion de transito por este medio,se puede pagar una infraccion de transito por este medio
